"id","place_name","description","category","coordinate","price","rating","range_price"
"212","Poolau Air Waterboom - Maskot Ulung Cimara","Poolau Air Waterboom - Maskot Ulung Cimara adalah objek wisata yang terletak di Cimara, Pasawahan, Kabupaten Kuningan, Jawa Barat, Indonesia. Tampak sebuah taman air dengan maskot bernama Ulung Cimara","Wisata Air","-6.784986653480919, 108.44738831614048","Rp20,000","4.1","0-20000"
"213","Curug Cigetruk","Curug Cigetruk adalah air terjun yang terletak di selatan Desa Mandala, Kecamatan Dukuhpuntang, Kabupaten Cirebon, Jawa Barat, Indonesia. Dikenal sebagai air terjun tertinggi di Cirebon. Daerah ini merupakan objek wisata alam dan menjadi populer di kalangan wisatawan","Wisata Air","-6.783146916657839, 108.4336943813684","Rp5,000","4.2","0-20000"
"214","Wisata Side Land Kaduela","Wisata Side Land Kaedula menawarkan wisata air berupa kolam renang dengan konsep yang unik. Detail pasti dari daya tarik tidak disediakan dalam hasil pencarian.","Wisata Air","-6.792791332881385, 108.42843268301297","Rp15,000","4.6","0-20000"
"215","Curug Gongseng","Area alami yang indah dengan jalan setapak yang rimbun & berhutan menuju air terjun kecil dengan kolam alami.","Wisata Air","-6.839794492596529, 108.44176750000001","Rp15,000","4.2","0-20000"
"216","Petilasan Mbah Kuwu Sangkan","Petilasan Mbah Kuwu Sangkan adalah sebuah makam keramat yang terletak di Desa Talun, Kabupaten Cirebon, Jawa Barat, Indonesia. Mbah Kuwu Sangkan dikenal sebagai orang pertama yang membangun pondasi Islam di daerah tersebut. Makam tersebut dianggap keramat atau tempat suci dan banyak dikunjungi orang untuk tujuan ziarah. Makam tersebut memiliki sejarah dan asal muasal yang masih dipelajari dan diteliti.","Wisata Religi","-6.777460437870187, 108.4981305","Rp5,000","4.6","0-20000"
"217","Curug Cipeuteuy","Ini adalah tujuan wisata populer yang terkenal dengan airnya yang berwarna biru dan pemandangan yang indah. Biaya masuknya terjangkau, dan pengunjung dapat menikmati mengambil foto di area tersebut. Air terjun ini dikelilingi oleh hutan yang menambah keindahan alamnya.","Wisata Air","-6.822979549801464, 108.38217016136979","Rp15,000","4.4","0-20000"
"218","Hutan Pinus Batu Nyongclo","Ini adalah tujuan wisata populer yang terkenal dengan keindahan alam, udara sejuk, dan tempat berkemah. Pengunjung dapat menyewa rumah berbentuk segitiga untuk akomodasi yang dikelola oleh pengelola hutan. Hutan juga dilengkapi dengan prosedur operasi standar untuk era normal baru, seperti penggunaan masker.","Taman Wisata","-6.832442547372043, 108.38313739835544","Rp15,000","4.3","0-20000"
"219","Cikadongdong River Tubing","Cikadongdong River Tubing menawarkan pengalaman arung jeram yang menyenangkan dan mengasyikkan dengan air jernih, bahkan saat musim hujan","Wisata Air","-6.824819464573196, 108.35886778465756","Rp30,000","4.5","20000-50000"
"220","Obyek Wisata Alam Prabu Siliwangi","Objek Wisata Alam Prabu Siliwangi merupakan sebuah petilasan atau tempat keramat yang dipercaya sebagai tempat peristirahatan Prabu Siliwangi, raja legendaris Kerajaan Sunda.","Wisata Religi","-6.8259014781201985, 108.34207886136979","Rp0","4.5","0-20000"
"221","Wisata Situ Cipanten","Ini adalah tujuan wisata populer yang terkenal dengan suasananya yang tenang dan aktivitas ramah keluarga.","Wisata Air","-6.8227082060931155, 108.32730015287628","Rp10,000","4.5","0-20000"
"222","Kolam Renang Tirta Indah","Kolam renang di Jawa Barat","Wisata Air","-6.776030297806556, 108.3861385915065","Rp25,000","4.2","20000-50000"
"223","Kolam Renang Hegar","Kolam renang hegar adalah tujuan wisata populer yang terkenal dengan fasilitas kolam renangnya yang bersih dan nyaman. Pengunjung dapat menikmati berenang dan bersantai di lingkungan yang indah dan nyaman. Biaya masuknya terjangkau, dan pengunjung juga dapat memarkir kendaraannya di area tersebut.","Wisata Air","-6.783799436428953, 108.4047366","Rp15,000","4.0","0-20000"
"224","Taman Raden Benadi Kepuh ","Taman Raden Benadi Kepuh merupakan destinasi wisata alam baru yang menawarkan pemandangan indah dan menjadi tujuan wisata populer bagi wisatawan yang berkunjung ke Cirebon.","Taman Wisata","-6.737669902700012, 108.42673968465755","Rp10,000","4.3","0-20000"
"225","Tirtamas Gemilang Waterpark","Taman rekreasi air di Arjawinangun, Jawa Barat","Wisata Air","-6.650367869124638, 108.40753845397266","Rp25,000","4.1","20000-50000"
"226","Kolam Renang Putri Borneo","Kolam renang umum di Jawa Barat","Wisata Air","-6.680908237044114, 108.30116475397266","Rp20,000","4.1","0-20000"
"227","Taman Nasional Gunung Ciremai","Taman Nasional Gunung Ciremai atau Taman Nasional Gunung Ciremai adalah cagar biosfer yang terletak di Jawa Barat, Indonesia. Ini mencakup area seluas 155 km2 dan meluas ke Kabupaten Kuningan dan Majalengka di selatan Cirebon. Taman ini mengelilingi Gunung Ceremai, gunung berapi aktif dan puncak tertinggi di Jawa Barat. Taman ini terkenal dengan flora dan faunanya yang unik, beberapa di antaranya endemik atau terancam punah. Taman ini juga merupakan tujuan populer untuk hiking dan trekking, dengan berbagai jalur tersedia bagi pengunjung untuk menjelajahi keindahan alam taman.","Taman Wisata","-6.906433933523073, 108.41577861534245","Rp225,000","4.7","100000-200000"
"228","Air Terjun Ibun Pelangi","Air terjun di jawa barat","Taman Wisata","-6.905262451693899, 108.32920620000002","Rp12,000","4.5","0-20000"
"229","Wisata Religi Sangiang","Wisata Religi Sangiang merupakan tempat wisata alam yang menawarkan pemandangan danau dan pegunungan yang indah. Hasil penelusuran menunjukkan bahwa Situ Sangiang juga merupakan tempat wisata religi, dengan makam Sunan Parung berada di kawasan tersebut. Pengunjung dapat menikmati keindahan alam daerah tersebut dan juga belajar tentang sejarah agama dan budaya daerah tersebut. Tempat ini buka 24 jam sehari dan merupakan tujuan populer bagi wisatawan","Wisata Religi","-6.942808085879236, 108.3395723","Rp15,000","4.4","0-20000"
"230","Bukit Kanaga","Bukit Kanaga merupakan bukit yang menawarkan pemandangan alam yang indah dan cocok untuk berkemah dan jalan-jalan keluarga. Hasil pencarian menunjukkan bahwa Bukit Kanaga adalah tujuan populer bagi wisatawan. Bukit ini mudah dijangkau dengan kendaraan roda dua maupun roda empat.","Taman Wisata","-6.953333805221015, 108.38375323068487","Rp17,000","4.5","0-20000"
"231","Lembah Cilengkang","Lembah Cilengkang merupakan destinasi wisata alam yang menawarkan pemandangan alam yang indah, antara lain sumber air panas yang mengalir dari perut bumi dan air terjun. Hasil pencarian menunjukkan bahwa Lembah Cilengkang merupakan destinasi populer bagi wisatawan yang tertarik untuk mengeksplorasi wisata alam. Pengunjung dapat menikmati keindahan alam daerah tersebut dan juga bersantai di sumber air panas.","Taman Wisata","-6.935374608681519, 108.4399170585857","Rp12,500","4.5","0-20000"
"232","Curug Putri Palutungan","Curug Putri Palutungan merupakan air terjun yang memiliki bentuk unik menyerupai putri dan makhluk mitos. Hasil pencarian menunjukkan bahwa Curug Putri Palutungan merupakan destinasi wisata populer yang terkenal dengan keindahan alamnya. Namun salah satu hasil pencarian menyebutkan Curug Cigetruk yang merupakan air terjun tertinggi di Cirebon, Jawa Barat, Indonesia.","Taman Wisata","-6.943822391937055, 108.43431202328776","Rp15,000","4.7","0-20000"
"233","Wisata Bukit Panembongan","Lokasi pengamatan indah dengan struktur kayu untuk dekorasi foto yang menghadap pemandangan subur.","Taman Wisata","-7.009124959355498, 108.51117681534245","Rp7,500","4.1","0-20000"
"234","Wisata Alam Curug Bangkong","Jalan setapak di hutan akan menuju ke air terjun indah dengan kolam alami yang dapat diarungi oleh pengunjung.","Taman Wisata","-7.004548994874518, 108.42506437671223","Rp12,000","4.3","0-20000"
"235","Waduk Darma Kuningan ","Waduk Darma Kuningan atau Waduk Darma adalah tujuan wisata populer yang menawarkan pemandangan perbukitan dan pulau-pulau kecil yang indah, dan pengunjung dapat menyewa perahu untuk menjelajahi daerah tersebut dan terkenal dengan keindahan alamnya.","Taman Wisata","-7.012021991615182, 108.41255406018468","Rp15,000","4.5","0-20000"
"236","Cibulan","Tempat wisata yang terkenal dengan ikan terapi nya","Taman Wisata","-6.731724563735734, 108.55308887609237","Rp25,000","4.0","20000-50000"
"237","Wisata Air Moncongos","Wisata air dengan berbagai permainan air yang seru","Wisata Air","-7.003610583364437, 108.54996042739575","Rp35,000","4.7","20000-50000"
"238","Wisata Bukit Kalban","Pemandangan alam terbuka untuk menikmati sunrise maupun sunset","Pemandangan Alam","-6.966867228054653, 108.75160314958711","Rp0","4.9","0-20000"
"239","Keramat Nyi Mas Gandasari","Keramat Nyi Mas Gandasari merupakan tempat tujuan wisata berupa situs keramat yang dipercaya memiliki kekuatan mistis dan dikaitkan dengan sosok Nyi Mas Gandasari. Hasil pencarian menunjukkan bahwa Keramat Nyi Mas Gandasari merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs mistis dan spiritual.","Wisata Religi","-6.622183562442421, 108.45533343607194","Rp15,000","4.4","0-20000"
"240","Makam Sunan Gunung Jati","Tempat Ziarah Sunan Gunung Jati","Wisata Religi","-6.6705002031664895, 108.54130971388057","Rp0","4.2","0-20000"
"241","Makam Syekh Maulana Dzatul Kahfi","Tempat Ziarah Syekh Maulana Dzatul Kahfi","Wisata Religi","-6.670080852972315, 108.5437896608216","Rp0","4.6","0-20000"
"242","Keraton Kanoman","Keraton Kanoman adalah sebuah istana yang terletak di Cirebon, Jawa Barat, Indonesia. Istana ini didirikan oleh Sultan Anom I pada tahun 1677 dan merupakan tempat tinggal Sultan Anom ke-13 dan keluarganya. Hasil pencarian menunjukkan bahwa Keraton Kanoman merupakan tujuan wisata populer di Cirebon dan dikenal dengan nilai sejarah dan budayanya. Pengunjung dapat menjelajahi keraton dan museumnya untuk belajar tentang sejarah Kesultanan Cirebon dan budaya Jawa.","Wisata Religi","-6.721583313638049, 108.56949769835542","Rp10,000","4.5","0-20000"
"243","Gedung British American Tobacco","Gedung British American Tobacco adalah sebuah bangunan bersejarah yang terletak di Cirebon, Jawa Barat, Indonesia. Awalnya merupakan pabrik rokok dan sekarang menjadi situs cagar budaya dan tujuan wisata di kota tersebut. Hasil pencarian menunjukkan bahwa Gedung British American Tobacco merupakan destinasi populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk mengeksplorasi situs sejarah dan budaya. Pengunjung dapat belajar tentang sejarah bangunan dan signifikansinya dalam industri tembakau di Indonesia.","Museum","-6.718004104658719, 108.5736698728749","Rp5,000","4.6","0-20000"
"244","Ranggon Karanganom","Ranggon Karanganom adalah sebuah lokasi di Pegambiran, Cirebon, Jawa Barat, Indonesia. Hasil penelusuran menunjukkan bahwa Ranggon Karanganom dikenal sebagai tempat mancing barramundi dan ikan lainnya.","Pemancingan","-6.740024519150179, 108.58636559369927","Rp35,000","4.9","20000-50000"
"245","Muara Mundu","Muara Mundu merupakan kawasan baru yang dikembangkan yang mencakup proyek perlindungan sungai dan tujuan wisata baru bernama Taman Muara Mundu.","Taman Wisata","-6.752662583098842, 108.59670494547915","Rp10,000","4.5","0-20000"
"246","Wisata Zona Mangrove","Wisata Zona Mangrove adalah destinasi wisata yang terletak di Desa Mundu Pesisir, Kecamatan Mundu, Kabupaten Cirebon, Jawa Barat, Indonesia. Merupakan pusat mangrove yang digagas oleh masyarakat setempat pada tahun 2010 dan dikenal dengan nama Zona Mangrove Kasih SayangWisata Zona Mangrove merupakan destinasi populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs alam. Pengunjung dapat menikmati keindahan alam hutan mangrove dan belajar tentang pentingnya konservasi mangrove.","Taman Wisata","-6.755302831384435, 108.60043560465617","Rp5,000","4.0","0-20000"
"247","Makam Pangeran Lobama","Makam Pangeran Lobama tidak disebutkan dalam hasil pencarian yang tersedia. Namun ada yang menyebut Makam Ki Lobama yang terletak di Kecamatan Mundu, Kabupaten Cirebon, Jawa Barat, Indonesia. Ki Lobama adalah murid Syekh Abdul Qoadir Jailani dan berperan penting dalam menyebarkan Islam di wilayah tersebut. Hasil pencarian menunjukkan bahwa Makam Ki Lobama merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs religi dan sejarah. Pengunjung dapat belajar tentang sejarah Ki Lobama dan memberikan penghormatan di situs tersebut.","Wisata Religi","-6.759749341966419, 108.58929461479424","Rp0","4.8","0-20000"
"248","Petilasan Sunan Kalijaga","Petilasan Sunan Kalijaga merupakan situs keramat yang terkait dengan Sunan Kalijaga, salah satu dari sembilan wali atau Wali Songo yang berperan penting dalam penyebaran Islam di tanah Jawa. Ini adalah ruang suci yang dapat menjadi tuan rumah acara keagamaan dan budaya. . Hasil pencarian menunjukkan bahwa Petilasan Sunan Kalijaga merupakan tujuan populer bagi wisatawan yang berkunjung ke Jawa dan mereka yang tertarik untuk menjelajahi situs religi dan sejarah. Pengunjung dapat belajar tentang sejarah Islam di Jawa dan memberikan penghormatan kepada Sunan Kalijaga di situs tersebut","Wisata Religi","-6.747373992757049, 108.55202364547915","Rp10,000","4.6","0-20000"
"249","Wisata Kura-Kura Belawa","Wisata Kura-Kura Belawa adalah destinasi wisata yang terletak di Desa Belawa, Kecamatan Lemahabang, Kabupaten Cirebon, Jawa Barat, Indonesia. Hasil penelusuran menunjukkan bahwa Wisata Kura-Kura Belawa merupakan tempat konservasi penyu dan menjadi tujuan wisata populer bagi wisatawan yang berkunjung ke Cirebon. Pengunjung dapat belajar tentang upaya konservasi spesies penyu Belawa dan mengamati penyu di habitat aslinya. Situs ini juga memiliki museum yang menampilkan spesimen penyu Belawa yang diawetkan","Taman Wisata","-6.831255187208805, 108.58593003013671","Rp8,000","4.2","0-20000"
"250","Pantai Baro Gebang","Pantai Baro Gebang adalah destinasi pantai populer yang terletak di Cirebon, Jawa Barat, Indonesia. Hasil pencarian menunjukkan bahwa Pantai Baro Gebang sebelumnya digunakan sebagai pelabuhan pada tahun 2003-2004, namun kini menjadi tempat yang populer untuk bersantai dan menikmati lautan. Pantai ini terkenal dengan pemandangannya yang indah, angin laut yang sejuk, dan pemandangan matahari terbenam yang menakjubkan. Pengunjung juga dapat menemukan penjual makanan yang menjual makanan lokal di area tersebut. Hasil pencarian menunjukkan bahwa Pantai Baro Gebang merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs alam. Harga tiket masuk ke Pantai Baro Gebang cukup terjangkau, pengunjung cukup membayar Rp1.000 untuk sepeda motor dan Rp3.000 untuk mobil.","Pemancingan","-6.805291352315121, 108.73455473479285","Rp3,000","3.8","0-20000"
"251","Waterpark Kyai Masni","Waterpark Kyai Masni adalah taman air sederhana yang terletak di Cirebon, Jawa Barat, Indonesia. Hasil penelusuran menunjukkan bahwa taman air tersebut memiliki kolam renang, wahana hiburan, dan kebun binatang kecil. Namun, informasi yang tersedia tentang Waterpark Kyai Masni sangat terbatas, dan tidak disebutkan dalam konteks tujuan wisata populer.","Taman Wisata","-6.765281234917807, 108.53279168465755","Rp10,000","4.3","0-20000"
"252","Hutan Kota Sumber","Hutan Kota Sumber adalah taman hutan yang terletak di Kecamatan Sumber, Kabupaten Cirebon, Jawa Barat, Indonesia. Hasil pencarian menunjukkan bahwa Hutan Kota Sumber merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs alam. Taman ini dikenal dengan kehidupan tumbuhannya yang beragam dan dianggap sebagai sumber oksigen dan pengetahuan yang harus dilestarikan. Hasil penelusuran juga menunjukkan bahwa Hutan Kota Sumber telah digunakan sebagai tempat untuk berbagai acara, seperti kegiatan lingkungan dan pertunjukan musik. Namun, ada juga yang menyebut taman ini menjadi tempat populer bagi pasangan untuk berkencan","Taman Wisata","-6.757313890475464, 108.48166604547914","Rp5,000","4.2","0-20000"
"253","Kolam Renang Surga Hati","Kolam renang umum di daerah Cirebon","Wisata Air","-6.750603575346927, 108.51965273643746","Rp17,000","4.0","0-20000"
"254","Ayam Bahagia 71 Hj. Sunarti","Ayam Bahagia 71 Hj. Sunarti adalah restoran yang terletak di Cirebon, Jawa Barat, Indonesia. Hasil pencarian menunjukkan bahwa restoran tersebut terkenal dengan ayam gorengnya dan merupakan tujuan populer bagi penduduk setempat dan wisatawan yang berkunjung ke Cirebon. Restoran ini terletak di Jalan Bahagia No. 69-71, Lemahwungkuk, Cirebon.","Wisata Kuliner","-6.714637595377921, 108.56627858603166","Rp18,000","4.4","0-20000"
"255","Pedesan Entog Mas Nana","Pedesan Entog Mas Nana terletak di kawasan Megu, Kabupaten Cirebon, rumah makan ini dibuka sejak tahun 2007 dan dikelola sendiri oleh mas Nana, sang pemilik. Dulu, untuk membuka rumah makan pedesan entok ini, sang pemilik hanya bermodalkan Rp 60 ribu, namun karena kerja keras dan kesabarannya, beliau mampu mengembangkan usaha rumah makan miliknya hingga saat ini.","Wisata Kuliner","-6.731047617062817, 108.49790679999998","Rp30,000","4.4","20000-50000"
"256","Pipit Tongseng Battembat","Ripit Tongseng Battembat, İr. H. Juanda merupakan sebuah tempat makan yang berada di Cirebon. Rumah makan ini menyajikan berbagai menu minuman, ayam & bebek & aneka nasi yang dibanderol dengan harga yang murah dan bersahabat dengan kantong Anda. Jika Anda mencari daftar harga menu Ripit Tongseng Battembat, ir. H. Juanda, Anda berada di tempat yang tepat. Di bawah ini akan dibahas secara lengkap menu apa saja yang dijual oleh Pipit Tongseng Battembat, İr. H. Juanda beserta harganya.","Wisata Kuliner","-6.707516711763651, 108.51765813863022","Rp25,000","4.6","20000-50000"
"257","Nasi Ati Ayam Santa Maria","Nasi ati ayam Santa Maria adalah sejenis hidangan nasi yang dihidangkan dengan ati ayam (hati ayam) yang dimasak dengan gaya khas Santa Maria. Santa Maria adalah nama yang mengacu pada metode atau gaya memasak tertentu yang mungkin memiliki ciri khas dan bumbu khusus. Hidangan ini mungkin memiliki cita rasa unik dan berbeda dari nasi ati ayam pada umumnya.","Wisata Kuliner","-6.7136575947273744, 108.56707723555213","Rp20,000","4.6","0-20000"
"258","Seafood H.Moel","Seafood H.Moel adalah sebuah restoran atau warung makan yang menyajikan hidangan laut atau seafood. Nama ""H.Moel"" mungkin merujuk pada pemilik atau pendiri restoran tersebut. Seafood H.Moel mungkin menawarkan beragam hidangan laut seperti ikan, udang, kepiting, cumi-cumi, dan mungkin juga hidangan khas atau resep khusus dari restoran tersebut.","Wisata Kuliner","-6.727782244965733, 108.55030571940729","Rp20,000","4.4","0-20000"
"259","Sate Kalong Drajat Kesambi","Sate Kalong Drajat Kesambi adalah sejenis hidangan sate yang dikenal di daerah Kesambi dan berhubungan dengan warung atau restoran yang bernama Drajat. Hidangan ini mungkin memiliki ciri khas tertentu dalam cara penyajiannya, bumbu, atau jenis daging yang digunakan. ","Wisata Kuliner","-6.729207311396235, 108.56083203739524","Rp20,000","4.3","0-20000"
