id,title,image,description,category,budget,latitude,longitude,youtube_url
58,Curug Putri Palutungan,destination_pics/Curug_Putri_Palutungan.jpg,"Curug Putri Palutungan merupakan air terjun yang memiliki bentuk unik menyerupai putri dan makhluk mitos. Hasil pencarian menunjukkan bahwa Curug Putri Palutungan merupakan destinasi wisata populer yang terkenal dengan keindahan alamnya. Namun salah satu hasil pencarian menyebutkan Curug Cigetruk yang merupakan air terjun tertinggi di Cirebon, Jawa Barat, Indonesia.",TW,0-20000,-6.94678,108.43294,https://youtu.be/P6K8L9_pXPs
59,Wisata Bukit Panembongan,destination_pics/Wisata_Bukit_Panembongan.jpg,Lokasi pengamatan indah dengan struktur kayu untuk dekorasi foto yang menghadap pemandangan subur.,TW,0-20000,-7.0093,108.51114,https://youtu.be/1w_kbPv6dIs
60,Wisata Alam Curug Bangkong,destination_pics/Wisata_Alam_Curug_Bangkong.jpg,Jalan setapak di hutan akan menuju ke air terjun indah dengan kolam alami yang dapat diarungi oleh pengunjung.,TW,0-20000,-7.00512,108.42488,https://youtu.be/7BJi6dd25rg
61,Waduk Darma Kuningan,destination_pics/Waduk_Darma_Kuningan.jpg,"Waduk Darma Kuningan atau Waduk Darma adalah tujuan wisata populer yang menawarkan pemandangan perbukitan dan pulau-pulau kecil yang indah, dan pengunjung dapat menyewa perahu untuk menjelajahi daerah tersebut dan terkenal dengan keindahan alamnya.",TW,0-20000,-7.01215,108.4088,https://youtu.be/EnwerEHLLmA
62,Cibulan,destination_pics/Cibulan.jpg,Tempat wisata yang terkenal dengan ikan terapi nya,TW,20000-50000,-6.91074,108.4859,https://youtu.be/Rwq3g4O3luE
63,Wisata Air Moncongos,destination_pics/Wisata_Air_Moncongos.jpg,Wisata air dengan berbagai permainan air yang seru,WA,20000-50000,-7.0041,108.54656,https://youtu.be/yHiViQ8cjr8
64,Wisata Bukit Kalban,destination_pics/Wisata_Bukit_Kalban.jpg,Pemandangan alam terbuka untuk menikmati sunrise maupun sunset,TW,0-20000,-6.96745,108.74728,https://youtu.be/2e-928wYZNs
65,Keramat Nyi Mas Gandasari,destination_pics/Keramat_Nyi_Mas_Gandasari.jpg,Keramat Nyi Mas Gandasari merupakan tempat tujuan wisata berupa situs keramat yang dipercaya memiliki kekuatan mistis dan dikaitkan dengan sosok Nyi Mas Gandasari. Hasil pencarian menunjukkan bahwa Keramat Nyi Mas Gandasari merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs mistis dan spiritual.,WR,0-20000,-6.62294,108.45336,https://youtu.be/UhlORaxpOU8
66,Makam Sunan Gunung Jati,destination_pics/Makam_Sunan_Gunung_Jati.jpg,Tempat Ziarah Sunan Gunung Jati,WR,0-20000,-6.67109,108.54015,https://youtu.be/k8nTXrkC6H8
67,Makam Syekh Maulana Dzatul Kahfi,destination_pics/Makam_Syekh_Maulana_Dzatul_Kahfi.jpg,Tempat Ziarah Syekh Maulana Dzatul Kahfi,WR,0-20000,-6.67066,108.54298,https://youtu.be/OFcPQ5MX8Sk
68,Keraton Kanoman,destination_pics/Keraton_Kanoman.jpg,"Keraton Kanoman adalah sebuah istana yang terletak di Cirebon, Jawa Barat, Indonesia. Istana ini didirikan oleh Sultan Anom I pada tahun 1677 dan merupakan tempat tinggal Sultan Anom ke-13 dan keluarganya. Hasil pencarian menunjukkan bahwa Keraton Kanoman merupakan tujuan wisata populer di Cirebon dan dikenal dengan nilai sejarah dan budayanya. Pengunjung dapat menjelajahi keraton dan museumnya untuk belajar tentang sejarah Kesultanan Cirebon dan budaya Jawa.",WR,0-20000,-6.72222,108.56786,https://youtu.be/Z8rAbRtqtX4
69,Gedung British American Tobacco,destination_pics/Gedung_British_American_Tobacco.jpg,"Gedung British American Tobacco adalah sebuah bangunan bersejarah yang terletak di Cirebon, Jawa Barat, Indonesia. Awalnya merupakan pabrik rokok dan sekarang menjadi situs cagar budaya dan tujuan wisata di kota tersebut. Hasil pencarian menunjukkan bahwa Gedung British American Tobacco merupakan destinasi populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk mengeksplorasi situs sejarah dan budaya. Pengunjung dapat belajar tentang sejarah bangunan dan signifikansinya dalam industri tembakau di Indonesia.",TW,0-20000,-6.71884,108.56956,https://youtu.be/4SX1GkjL0I0
70,Ranggon Karanganom,destination_pics/Ranggon_Karanganom.jpg,"Ranggon Karanganom adalah sebuah lokasi di Pegambiran, Cirebon, Jawa Barat, Indonesia. Hasil penelusuran menunjukkan bahwa Ranggon Karanganom dikenal sebagai tempat mancing barramundi dan ikan lainnya.",WA,20000-50000,-6.7405,108.58777,https://youtu.be/6qBchs81m20
71,Muara Mundu,destination_pics/Muara_Mundu.jpg,Muara Mundu merupakan kawasan baru yang dikembangkan yang mencakup proyek perlindungan sungai dan tujuan wisata baru bernama Taman Muara Mundu.,TW,0-20000,-6.75321,108.59601,https://youtu.be/8Cws3X9Qw3A
72,Wisata Zona Mangrove,destination_pics/Wisata_Zona_Mangrove.jpg,"Wisata Zona Mangrove adalah destinasi wisata yang terletak di Desa Mundu Pesisir, Kecamatan Mundu, Kabupaten Cirebon, Jawa Barat, Indonesia. Merupakan pusat mangrove yang digagas oleh masyarakat setempat pada tahun 2010 dan dikenal dengan nama Zona Mangrove Kasih SayangWisata Zona Mangrove merupakan destinasi populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs alam. Pengunjung dapat menikmati keindahan alam hutan mangrove dan belajar tentang pentingnya konservasi mangrove.",TW,0-20000,-6.75622,108.59735,https://youtu.be/LNc2isad5tM
73,Makam Pangeran Lobama,destination_pics/Makam_Pangeran_Lobama.jpg,"Makam Pangeran Lobama tidak disebutkan dalam hasil pencarian yang tersedia. Namun ada yang menyebut Makam Ki Lobama yang terletak di Kecamatan Mundu, Kabupaten Cirebon, Jawa Barat, Indonesia. Ki Lobama adalah murid Syekh Abdul Qoadir Jailani dan berperan penting dalam menyebarkan Islam di wilayah tersebut. Hasil pencarian menunjukkan bahwa Makam Ki Lobama merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs religi dan sejarah. Pengunjung dapat belajar tentang sejarah Ki Lobama dan memberikan penghormatan di situs tersebut.",WR,0-20000,-6.76062,108.58868,
74,Petilasan Sunan Kalijaga,destination_pics/Petilasan_Sunan_Kalijaga.jpg,"Petilasan Sunan Kalijaga merupakan situs keramat yang terkait dengan Sunan Kalijaga, salah satu dari sembilan wali atau Wali Songo yang berperan penting dalam penyebaran Islam di tanah Jawa. Ini adalah ruang suci yang dapat menjadi tuan rumah acara keagamaan dan budaya. . Hasil pencarian menunjukkan bahwa Petilasan Sunan Kalijaga merupakan tujuan populer bagi wisatawan yang berkunjung ke Jawa dan mereka yang tertarik untuk menjelajahi situs religi dan sejarah. Pengunjung dapat belajar tentang sejarah Islam di Jawa dan memberikan penghormatan kepada Sunan Kalijaga di situs tersebut",WR,0-20000,-6.74793,108.55133,
75,Wisata Kura-Kura Belawa,destination_pics/Wisata_Kura-Kura_Belawa.jpg,"Wisata Kura-Kura Belawa adalah destinasi wisata yang terletak di Desa Belawa, Kecamatan Lemahabang, Kabupaten Cirebon, Jawa Barat, Indonesia. Hasil penelusuran menunjukkan bahwa Wisata Kura-Kura Belawa merupakan tempat konservasi penyu dan menjadi tujuan wisata populer bagi wisatawan yang berkunjung ke Cirebon. Pengunjung dapat belajar tentang upaya konservasi spesies penyu Belawa dan mengamati penyu di habitat aslinya. Situs ini juga memiliki museum yang menampilkan spesimen penyu Belawa yang diawetkan",TW,0-20000,-6.83199,108.58539,https://youtu.be/oJzM2FOpHHE
76,Pantai Baro Gebang,destination_pics/Pantai_Baro_Gebang.jpg,"Pantai Baro Gebang adalah destinasi pantai populer yang terletak di Cirebon, Jawa Barat, Indonesia. Hasil pencarian menunjukkan bahwa Pantai Baro Gebang sebelumnya digunakan sebagai pelabuhan pada tahun 2003-2004, namun kini menjadi tempat yang populer untuk bersantai dan menikmati lautan. Pantai ini terkenal dengan pemandangannya yang indah, angin laut yang sejuk, dan pemandangan matahari terbenam yang menakjubkan. Pengunjung juga dapat menemukan penjual makanan yang menjual makanan lokal di area tersebut. Hasil pencarian menunjukkan bahwa Pantai Baro Gebang merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs alam. Harga tiket masuk ke Pantai Baro Gebang cukup terjangkau, pengunjung cukup membayar Rp1.000 untuk sepeda motor dan Rp3.000 untuk mobil.",WR,0-20000,-6.80521,108.73084,https://youtu.be/6EM8gaJLXq4
77,Waterpark Kyai Masni,destination_pics/Waterpark_Kyai_Masni.jpg,"Waterpark Kyai Masni adalah taman air sederhana yang terletak di Cirebon, Jawa Barat, Indonesia. Hasil penelusuran menunjukkan bahwa taman air tersebut memiliki kolam renang, wahana hiburan, dan kebun binatang kecil. Namun, informasi yang tersedia tentang Waterpark Kyai Masni sangat terbatas, dan tidak disebutkan dalam konteks tujuan wisata populer.",TW,0-20000,-6.76545,108.53295,https://youtu.be/wuoge0eM7WI
78,Hutan Kota Sumber,destination_pics/Hutan_Kota_Sumber.jpg,"Hutan Kota Sumber adalah taman hutan yang terletak di Kecamatan Sumber, Kabupaten Cirebon, Jawa Barat, Indonesia. Hasil pencarian menunjukkan bahwa Hutan Kota Sumber merupakan tujuan populer bagi wisatawan yang berkunjung ke Cirebon dan mereka yang tertarik untuk menjelajahi situs alam. Taman ini dikenal dengan kehidupan tumbuhannya yang beragam dan dianggap sebagai sumber oksigen dan pengetahuan yang harus dilestarikan. Hasil penelusuran juga menunjukkan bahwa Hutan Kota Sumber telah digunakan sebagai tempat untuk berbagai acara, seperti kegiatan lingkungan dan pertunjukan musik. Namun, ada juga yang menyebut taman ini menjadi tempat populer bagi pasangan untuk berkencan",TW,0-20000,-6.75779,108.48091,https://youtu.be/7xo1sRXfJ3E
79,Kolam Renang Surga Hati,destination_pics/Kolam_Renang_Surga_Hati.jpg,Kolam renang umum di daerah Cirebon,WA,0-20000,-6.75066,108.51753,https://youtu.be/fcBY1nBAaos
